Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2
Public,3978,C04,B04,39,3981.25,,3971.25,0.49,0.76,2.17,10.9,0.22,1.13,0.32,23.41,0.08,197.8,1.04,167.83,246.83,73.81,6.76,58.55,49.14,98.8,9.4,20.57,16.44,6,3.24,21.72,13.12,1091.98,12.46,38.02,6.15,10.89,Public Formation,
Public,3978,C04,B04,41,3981.42,,3971.42,0.37,0.58,1.74,8.84,0.36,1.13,0.24,26.47,0.07,188.82,1.09,111,225.59,75.54,4.59,77.88,50.38,62.16,7.41,22.47,14.51,6,3.33,19.69,20.6,1322.12,15.27,28.11,7.84,14.09,Public Formation,
Public,3978,C04,B04,43,3981.58,,3971.58,0.37,0.89,1.99,7.36,0.3,1.48,0.23,27.6,0.09,193.83,1.23,111,237.79,65.1,4.47,89.72,62.57,145.92,7.08,32.09,18.81,6,2.79,14.98,14.07,1301.18,13.64,26.91,4.44,21.57,Public Formation,
Public,3978,C04,B04,45,3981.75,,3971.75,0.39,0.5,0.9,4.94,0.18,0.85,0.13,32.79,0.03,213.3,0.86,111,97.99,40,4.76,48.39,40.46,66.63,4.02,22.93,15.16,6,2.31,5,21.71,1556.83,6.83,5,5.45,6,Public Formation,
Public,3978,C04,B04,47,3981.92,,3971.92,0.45,0.71,0.6,5.81,0.07,0.67,0.12,31.69,0.03,217.62,0.8,111,92.21,40,5.8,54.3,48.28,81.96,6.18,15.97,13.3,6,2.69,9.71,19.97,1515.64,9.41,5,3.04,6,Public Formation,
Public,3978,C04,B04,49,3982.08,,3972.08,0.46,0.34,0.37,5.07,0.003,0.38,0.09,33.72,0.02,272.97,0.66,111,50.16,40,5.54,19.53,23.98,30.29,4.07,13.3,11.96,6,2.06,7.15,10.35,1267.21,6.57,5,3.34,6,Public Formation,
Public,3978,C04,B04,51,3982.25,,3972.25,0.46,0.78,0.52,5.13,0.05,0.56,0.09,32.42,0.02,248.31,0.81,111,30,40,5.62,19.1,26.63,33.8,4.17,14.15,12.01,6,2.06,5,15.55,1319.01,3.88,5,3.79,6,Public Formation,
Public,3978,C04,B04,53,3982.42,,3972.42,0.38,0.71,0.32,4.94,0.01,0.74,0.08,33.88,0.02,224.09,0.86,111,55.3,40,5.44,21.83,27.7,28.65,3.77,11.84,11.48,6,2,5,10,1344.04,4.16,5,1.43,6,Public Formation,
Public,3978,C04,B04,55,3982.58,,3972.58,0.42,0.69,0.6,5.25,0.06,0.93,0.11,30.68,0.03,238.25,0.85,111,55.61,40,5.06,24.07,28.13,34,4.39,14.98,12.21,6,2.09,6.66,11.95,1258.42,3.46,5,2.77,6,Public Formation,
Public,3978,C04,B04,57,3982.75,,3972.75,0.51,0.66,1.13,5.97,0.13,0.89,0.19,27.37,0.07,209,1.02,111,105.38,46.06,5.16,41.24,33.93,55.43,6.49,15.61,13.08,6,2.43,5.69,21.74,1348.7,8.25,5,4.69,6,Public Formation,
Public,3978,C04,B04,59,3982.92,,3972.92,0.54,0.15,0.54,5.37,0.05,0.45,0.12,27.83,0.03,273.44,0.68,111,51.35,40,5.95,23.12,30,34.98,3.72,14.86,12.21,6,2.22,7.51,14.72,1085.98,7.14,9.57,3.55,6,Public Formation,
Public,3978,C04,B04,61,3983.08,,3973.08,0.43,0.33,0.46,4.76,0.02,0.4,0.11,31.58,0.02,284.35,0.67,111,54.52,40,6.29,16.03,24.99,30.25,6.07,11.27,11.29,6,2,10.86,10,997.02,7.92,5.24,3.47,6,Public Formation,
Public,3978,C04,B04,63,3983.25,,3973.25,0.47,0.56,0.49,4.31,0.003,0.55,0.11,32.73,0.02,230.88,0.85,111,30,40,6.58,15.36,26.79,33.66,4.48,13.25,11.79,6,2,8.63,10,933.39,6.96,9.2,3.62,6,Public Formation,
