,Unnamed: 0,Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,PCA1,PCA2,Chemofacies_train,Chemofacies_NN,Prob1,Prob2,Prob3,Prob4,Prob10,Prob20
20,20,Public,3978,C04,B04,39,3981.25,,3971.25,0.49,0.76,2.17,10.9,0.22,1.13,0.32,23.41,0.08,197.8,1.04,167.83,246.83,73.81,6.76,58.55,49.14,98.8,9.4,20.57,25.0,6,3.24,21.72,13.12,1091.98,12.46,38.02,6.15,10.89,Eagle Ford,Lower Eagle Ford,False,4,2.148564537168121,2.3506426853870965,,4.0,0.00395479374830697,0.16478933812237406,0.0011641974361109287,0.8298191832185979,1.1372501000060657e-05,0.0002611149736101445
21,21,Public,3978,C04,B04,41,3981.42,,3971.42,0.37,0.58,1.74,8.84,0.36,1.13,0.24,26.47,0.07,188.82,1.09,111.0,225.59,75.54,4.59,77.88,50.38,62.16,7.41,22.47,25.0,6,3.33,19.69,20.6,1322.12,15.27,28.11,7.84,14.09,Eagle Ford,Lower Eagle Ford,False,4,2.1127216523616634,0.4721755315191117,,4.0,2.220980009254871e-06,2.714030966386141e-05,0.0001392457245373526,0.9998313480204294,4.697617086541357e-09,4.02677431156534e-08
22,22,Public,3978,C04,B04,43,3981.58,,3971.58,0.37,0.89,1.99,7.36,0.3,1.48,0.23,27.6,0.09,193.83,1.23,111.0,237.79,65.1,4.47,89.72,62.57,145.92,7.08,32.09,25.0,6,2.79,14.98,14.07,1301.18,13.64,26.91,5.0,21.57,Eagle Ford,Lower Eagle Ford,False,1,1.9086393882632156,-0.4579766489806408,,4.0,2.617011348013279e-07,6.087381242845936e-06,0.008038135480943724,0.9919554460313293,8.900845965564703e-09,6.05045031595734e-08
23,23,Public,3978,C04,B04,45,3981.75,,3971.75,0.39,0.5,0.9,4.94,0.18,0.85,0.13,32.79,0.03,213.3,0.86,111.0,97.99,40.0,4.76,48.39,40.46,66.63,6.0,22.93,25.0,6,2.31,5.0,21.71,1556.83,6.83,5.0,5.45,6.0,Eagle Ford,Lower Eagle Ford,False,2,-2.483005815204553,-2.1858557223100714,,4.0,0.11576267323808685,8.581359568508631e-11,1.881217582522007e-08,0.8842234107129804,1.3879540439056072e-05,1.761050450236465e-08
24,24,Public,3978,C04,B04,47,3981.92,,3971.92,0.45,0.71,0.6,5.81,0.07,0.67,0.12,31.69,0.03,217.62,0.8,111.0,92.21,40.0,5.8,54.3,48.28,81.96,6.18,15.97,25.0,6,2.69,9.71,19.97,1515.64,9.41,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-2.598201048439486,-1.1028501506066275,,4.0,0.002949073073123097,3.2487379560573442e-09,7.886147798177219e-08,0.997046294744096,4.537889131277614e-06,1.218343354429784e-08
25,25,Public,3978,C04,B04,49,3982.08,,3972.08,0.46,0.34,0.37,5.07,0.003,0.38,0.09,33.72,0.02,272.97,0.66,111.0,50.16,40.0,5.54,19.53,23.98,30.29,6.0,13.3,25.0,6,2.06,7.15,10.35,1267.21,6.57,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.863654540576892,0.2835453024850783,,1.0,0.9888407282827228,1.551930709985659e-10,4.132380868782182e-08,0.010985913921205955,0.00017193739495875704,1.3789221105992616e-06
26,26,Public,3978,C04,B04,51,3982.25,,3972.25,0.46,0.78,0.52,5.13,0.05,0.56,0.09,32.42,0.02,248.31,0.81,111.0,30.0,40.0,5.62,19.1,26.63,33.8,6.0,14.15,25.0,6,2.06,5.0,15.55,1319.01,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.280337696803401,-0.6110710625979788,,1.0,0.9861330933036616,1.9446150979281232e-10,1.6267408382814255e-08,0.013815729594671545,5.062628704730294e-05,5.343527496371083e-07
27,27,Public,3978,C04,B04,53,3982.42,,3972.42,0.38,0.71,0.32,4.94,0.01,0.74,0.08,33.88,0.02,224.09,0.86,111.0,55.3,40.0,5.44,21.83,27.7,28.65,6.0,11.84,25.0,6,2.0,5.0,10.0,1344.04,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.449438434819831,-1.0029455212119658,,1.0,0.9976647802704522,1.8892850110177245e-11,4.574059482173937e-09,0.0022954927708824344,3.938082977701358e-05,3.415359360041943e-07
28,28,Public,3978,C04,B04,55,3982.58,,3972.58,0.42,0.69,0.6,5.25,0.06,0.93,0.11,30.68,0.03,238.25,0.85,111.0,55.61,40.0,5.06,24.07,28.13,34.0,6.0,14.98,25.0,6,2.09,6.66,11.95,1258.42,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-3.656505236640305,-0.6502941825419981,,1.0,0.972404718747702,1.283324845555936e-09,9.923528882914601e-08,0.027426838299576962,0.00016605432841605667,2.288105691189858e-06
29,29,Public,3978,C04,B04,57,3982.75,,3972.75,0.51,0.66,1.13,5.97,0.13,0.89,0.19,27.37,0.07,209.0,1.02,111.0,105.38,46.06,5.16,41.24,33.93,55.43,6.49,15.61,25.0,6,2.43,5.69,21.74,1348.7,8.25,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,1,-1.6043654325833376,-0.6892357413208374,,4.0,0.0002644024037860683,1.0414683231922105e-08,3.1428410622785355e-07,0.99973341643357,1.8487277019492537e-06,7.73615241096641e-09
30,30,Public,3978,C04,B04,59,3982.92,,3972.92,0.54,0.15,0.54,5.37,0.05,0.45,0.12,27.83,0.03,273.44,0.68,111.0,51.35,40.0,5.95,23.12,30.0,34.98,6.0,14.86,25.0,6,2.22,7.51,14.72,1085.98,7.14,9.57,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-3.905753192164785,0.9502128877492246,,1.0,0.5295946728618103,2.3192523871438218e-07,4.2127143138646996e-06,0.46958488788360375,0.000798206208120871,1.778840691250809e-05
31,31,Public,3978,C04,B04,61,3983.08,,3973.08,0.43,0.33,0.46,4.76,0.02,0.4,0.11,31.58,0.02,284.35,0.67,111.0,54.52,40.0,6.29,16.03,24.99,30.25,6.07,11.27,25.0,6,2.0,10.86,10.0,997.02,7.92,5.24,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.719817057172474,1.2214708834758297,,1.0,0.9333025975023848,1.965194893300298e-08,1.2262556478132023e-05,0.04243618712081171,0.024138803867076255,0.00011012930130017895
32,32,Public,3978,C04,B04,63,3983.25,,3973.25,0.47,0.56,0.49,4.31,0.003,0.55,0.11,32.73,0.02,230.88,0.85,111.0,30.0,40.0,6.58,15.36,26.79,33.66,6.0,13.25,25.0,6,2.0,8.63,10.0,933.39,6.96,9.2,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.239420805542984,0.7773974775955004,,1.0,0.9151868299158031,1.0317043770175052e-07,3.635452301858184e-05,0.04186213247397217,0.04262890341493005,0.000285676501838521
33,33,Public,3978,C04,B04,65,3983.42,,3973.42,0.47,0.32,0.37,4.28,0.003,0.53,0.1,31.78,0.02,215.5,0.83,111.0,33.11,40.0,5.35,19.75,24.59,28.21,6.0,15.78,25.0,6,2.0,7.58,10.0,930.38,7.55,8.13,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.041588660062052,0.4853177624147515,,1.0,0.9479591775011547,2.110743758137592e-08,1.2660772678361014e-05,0.026396908857840337,0.025501397222373903,0.00012983453851516552
34,34,Public,3978,C04,B04,67,3983.58,,3973.58,0.51,0.31,0.64,5.53,0.01,0.53,0.1,30.22,0.03,231.41,0.77,111.0,54.89,40.0,7.05,14.22,24.89,30.31,6.0,12.26,25.0,6,2.1,9.07,10.0,1050.29,10.82,10.83,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-3.989781898647202,1.4431238877945736,,1.0,0.7316384613244051,5.362409492411424e-07,1.6209753156335953e-05,0.2636417377905434,0.004609610660786778,9.344423015901456e-05
35,35,Public,3978,C04,B04,69,3983.75,,3973.75,0.53,0.37,1.26,6.73,0.09,0.95,0.17,26.76,0.06,203.56,0.99,111.0,81.28,50.8,5.48,44.28,39.09,81.08,7.24,19.77,25.0,6,2.68,11.18,16.33,1404.94,8.6,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,1,-1.1844355095300922,-0.1667102945640025,,4.0,1.4875560634319436e-05,7.025350647406873e-09,1.2190263187097099e-07,0.9999848135479682,1.81158493566582e-07,8.049213649800497e-10
36,36,Public,3978,C04,B04,71,3983.92,,3973.92,0.61,0.04,1.87,8.54,0.2,1.63,0.27,18.45,0.11,177.24,1.64,111.0,129.82,68.33,5.43,74.52,52.54,103.93,9.17,33.77,25.0,6,3.52,23.33,19.47,1011.11,11.66,46.98,7.12,18.22,Eagle Ford,Lower Eagle Ford,False,4,4.071516986068713,1.796417490253785,,2.0,1.353957640637899e-05,0.9717998698440227,0.0265286038756636,0.0012375824542430933,2.0118131906014234e-08,0.000420384131532205
37,37,Public,3978,C04,B04,73,3984.08,,3974.08,0.5,0.64,1.7,10.47,0.31,1.45,0.21,21.82,0.08,194.95,1.32,111.0,174.28,67.63,6.06,86.36,49.89,109.85,6.39,26.41,25.0,6,3.06,15.18,22.56,1196.79,10.21,29.58,7.13,44.33,Eagle Ford,Lower Eagle Ford,False,4,2.2115507910177987,0.2493627521508594,,4.0,8.03991948526895e-06,0.00042185940930862493,0.007165514000861723,0.9924026207081793,1.1520126682841204e-07,1.8507608981779408e-06
38,38,Public,3978,C04,B04,75,3984.25,,3974.25,0.51,0.38,1.8,7.61,0.21,1.05,0.18,25.89,0.1,185.44,0.99,394.33,300.29,53.87,4.54,69.82,46.67,81.81,7.84,24.26,25.0,6,2.81,6.94,30.87,1319.11,8.73,13.06,5.24,42.08,Eagle Ford,Lower Eagle Ford,False,1,1.030626329297231,-1.187315456403094,,4.0,2.0086099432088515e-06,4.464308595431123e-08,2.482610493715027e-06,0.9999954179382249,4.445613996182225e-08,1.7421121556894648e-09
39,39,Public,3978,C04,B04,77,3984.42,,3974.42,0.65,0.04,0.72,6.63,0.11,0.73,0.11,23.95,0.04,186.39,0.8,111.0,193.93,45.41,4.41,85.48,59.14,130.42,6.75,28.13,25.0,6,2.79,12.27,18.71,1290.17,9.93,17.6,5.57,46.78,Eagle Ford,Lower Eagle Ford,False,1,-0.2783959416028743,-0.2253212331170113,,4.0,3.4809333333383516e-06,7.965159689301432e-08,1.0422695984856372e-06,0.9999953403964439,5.479709420875968e-08,1.9519330349228533e-09
40,40,Public,3978,C04,B04,79,3984.58,,3974.58,0.58,0.18,1.92,12.36,0.22,1.16,0.28,20.86,0.1,180.82,0.97,294.25,373.95,100.24,5.78,88.03,60.63,158.34,8.1,23.71,25.0,6,3.16,23.05,12.5,829.86,16.79,57.33,6.82,25.31,Eagle Ford,Lower Eagle Ford,False,4,3.7691742004250495,3.632300459005543,,2.0,1.0635382039069284e-06,0.9969859198724281,0.002822729005764588,0.0001112849738605226,6.096630120493776e-10,7.900200007950926e-05
41,41,Public,3978,C04,B04,81,3984.75,,3974.75,0.65,0.04,2.2,11.96,0.22,1.08,0.34,17.07,0.1,162.73,0.97,111.0,527.51,91.79,8.36,97.85,66.36,179.45,13.07,24.52,25.0,6,3.84,33.8,11.72,711.37,21.88,92.08,8.08,42.99,Eagle Ford,Lower Eagle Ford,False,4,5.818004917264043,5.93507261765528,,2.0,1.0795110649918746e-06,0.9994156653979207,0.00011234551894644416,5.1930397201629384e-08,1.3671695534372154e-11,0.00047085762799888465
42,42,Public,3978,C04,B04,83,3984.92,,3974.92,0.47,0.67,1.78,10.11,0.29,1.21,0.24,24.65,0.08,189.32,1.07,278.28,399.9,67.1,6.25,95.99,53.25,100.88,9.38,22.7,25.0,6,3.1,15.98,20.52,1175.81,13.22,33.55,6.8,40.61,Eagle Ford,Lower Eagle Ford,False,4,2.4427746825608216,0.8434075619762826,,4.0,0.0001789694926997436,0.01719130776009132,0.024473955212094528,0.9580723732982265,2.0646606869421114e-06,8.132957620107583e-05
43,43,Public,3978,C04,B04,85,3985.08,,3975.08,0.56,0.3,3.91,11.52,0.36,1.42,0.24,14.65,0.17,201.43,1.46,1038.61,431.66,74.47,3.92,134.12,58.99,124.69,8.37,29.04,25.0,6,3.24,19.57,18.5,996.72,9.72,47.85,6.96,62.85,Eagle Ford,Lower Eagle Ford,False,3,6.264363137055619,1.8773969405874715,,3.0,3.1078251815863794e-10,0.03945164199892368,0.9601984100520751,2.1103817979567163e-09,4.755516173215759e-13,0.00034994552736125633
44,44,Public,3978,C04,B04,87,3985.25,,3975.25,0.46,0.44,1.75,8.1,0.21,1.2,0.21,25.87,0.09,174.4,1.19,269.49,492.71,53.5,5.84,76.28,50.85,81.19,7.98,20.37,25.0,6,2.62,8.9,20.82,1426.74,9.28,12.6,6.3,25.8,Eagle Ford,Lower Eagle Ford,False,1,1.0068574854722454,-0.923215058316092,,4.0,6.3692485848145255e-06,7.23393964786938e-08,1.4871087175650913e-06,0.9999919445517313,1.235355127874616e-07,3.2160571252552833e-09
45,45,Public,3978,C04,B04,89,3985.42,,3975.42,0.61,0.04,1.04,10.69,0.19,0.8,0.16,21.39,0.05,197.92,0.78,111.0,406.34,67.08,3.8,76.63,51.27,132.94,6.0,21.29,25.0,6,2.7,12.71,18.34,1172.23,7.52,20.75,5.91,26.55,Eagle Ford,Lower Eagle Ford,False,1,0.3429290280185858,0.328152985381364,,4.0,1.085000521935854e-06,6.202755855158616e-08,1.0524921237222415e-06,0.9999977855272484,1.417057168908377e-08,7.819755836476584e-10
46,46,Public,3978,C04,B04,91,3985.58,,3975.58,0.63,0.04,0.75,7.43,0.16,0.68,0.15,23.07,0.04,183.45,0.74,111.0,353.22,52.91,6.94,90.95,55.86,143.34,6.69,15.58,25.0,6,2.74,11.94,19.29,1170.7,10.08,24.87,5.4,24.49,Eagle Ford,Lower Eagle Ford,False,1,-0.5706266609626979,0.6497759732730973,,4.0,8.247976895193425e-05,5.131360667506047e-06,5.024171726149011e-05,0.9998571643633013,4.567539326083233e-06,4.1525049181907323e-07
47,47,Public,3978,C04,B04,93,3985.75,,3975.75,0.44,0.53,1.95,7.27,0.31,1.12,0.32,25.91,0.09,175.28,1.07,111.0,548.64,51.93,6.11,109.44,66.24,222.4,11.38,29.29,25.0,6,3.53,21.17,22.82,1302.58,17.48,46.78,8.02,49.01,Eagle Ford,Lower Eagle Ford,False,3,4.1672716737145015,0.4947128031786426,,3.0,5.888682910659041e-07,0.05093617792432743,0.9472765901102155,0.0015981885262464383,1.1853180236699782e-08,0.00018844271773926395
48,48,Public,3978,C04,B04,95,3985.92,,3975.92,0.57,0.22,1.17,8.84,0.16,0.86,0.16,23.68,0.06,192.37,0.87,111.0,380.95,54.3,6.75,92.9,52.91,173.71,9.43,19.85,25.0,6,2.55,9.62,20.2,1136.86,7.21,22.63,7.08,43.19,Eagle Ford,Lower Eagle Ford,False,1,0.4678514820055937,0.1263613591443848,,4.0,0.00018888519607089736,1.3875237333708918e-05,0.00011185089101543248,0.9996699417605402,1.403896762651117e-05,1.407947413240456e-06
49,49,Public,3978,C04,B04,97,3986.08,,3976.08,0.45,0.81,2.14,10.46,0.33,1.54,0.27,23.36,0.11,194.91,1.25,226.05,698.21,61.56,5.85,108.79,67.13,245.58,7.8,28.08,25.0,6,2.82,14.01,17.92,1040.94,6.76,47.06,5.31,49.22,Eagle Ford,Lower Eagle Ford,False,4,3.4054489602336897,-0.2884745477039316,,3.0,4.743187712216082e-08,4.120927193171475e-05,0.9980089481701914,0.0019407789186755477,1.743238449112212e-08,8.998774939550639e-06
50,50,Public,3978,C04,B04,99,3986.25,,3976.25,0.55,0.04,0.56,7.91,0.12,0.62,0.11,22.95,0.04,202.42,0.64,111.0,289.79,51.24,5.77,78.09,44.34,142.87,6.73,20.43,25.0,6,2.64,7.62,27.13,1291.72,9.59,15.87,6.81,34.82,Eagle Ford,Lower Eagle Ford,False,1,-0.9033823872025616,-0.4853347396198714,,4.0,9.861711308898692e-06,1.3389476344251403e-08,2.3502653641923638e-07,0.9999897357622055,1.530530386259438e-07,1.057434149514481e-09
