Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth_corrected,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,Concretion,VolcanicAsh,Chemofacies_train
Public core,3998,C04,B06,105,4006.75,,3996.25,0.43,0.35,0.44,5.36,0.04,0.47,0.08,32.49,0.02,241.6,0.68,111,79.6,40,7.04,24.47,26.76,38.23,6,13.23,25,6,2,5,12.62,1167.11,,6.51,5,5,12.67,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3998,C04,B06,113,4007.42,,3996.92,0.36,0.74,0.66,6.74,0.02,0.47,0.09,32.56,0.02,268.54,0.61,111,120.96,42.28,7.02,26.79,29.21,28.75,6,13.51,25,6,2,5,13.2,1147.75,,12.66,6.6,5,13.73,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,1,4008.08,,3997.58,0.41,0.59,0.37,4.44,0.003,0.34,0.08,34.92,0.02,247.58,0.66,111,79.07,40,6.85,24.23,27.41,39.79,6,12.43,25,6,2,5,14.81,1120.58,,5,5,5,14.39,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,9,4008.75,,3998.25,0.49,0.13,1.9,3.82,0.01,0.4,0.06,28.56,0.01,214.19,0.76,111,30,40,5.72,13.26,22.44,56.53,6,17.15,25,6,2,5,10,800.34,,17.47,31.67,6.39,6.14,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,11,4008.92,,3998.42,0.49,1.91,2,4.17,0.04,0.52,0.1,27.31,0.02,207.3,0.9,111,62.11,40,5.16,11.77,21.05,42.7,6.9,21.89,25,6,2,7.8,10,800.42,,10.44,26.36,5,7.58,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,23,4009.92,,3999.42,0.46,0.42,0.33,4.6,0.003,0.4,0.08,32.87,0.02,197.06,0.69,111,172.31,40,6.76,31.6,28.43,33.66,6,12.62,25,6,2,5,12.94,1157.88,,5,5,5,13.1,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,25,4010.08,,3999.58,0.45,0.36,0.58,3.18,0.003,0.33,0.1,33.85,0.01,188.49,0.69,111,98.05,40,6.39,12.39,25.18,25.46,6,14.1,25,6,2,8.45,10,905.85,,6.11,21.26,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,27,4010.25,,3999.75,0.51,0.09,0.26,3.73,0.003,0.35,0.06,31.25,0.02,183.14,0.68,111,87.2,40,6.6,32.14,26.23,28.14,6,10.22,25,6,2,5,25.7,1233.18,,5,5,5,19.72,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,4008,C04,B07,31,4010.58,,4000.08,0.4,0.32,1.33,4.89,0.003,0.43,0.14,31.38,0.02,180.17,0.68,111,311.26,40,6.24,28.47,25.4,34.88,6,12.77,25,6,2,7.96,10,1033.5,,5,5,5,9.75,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,43,4011.58,,4001.08,0.46,0.43,0.58,5.46,0.05,0.5,0.1,29.22,0.03,219.32,0.7,111,215.44,40,5.44,38.73,27.48,50.17,6,14.11,25,6,2,5,16.44,933.96,,6.3,8.38,5,20.64,Public Formation,,FALSE,1,TRUE,FALSE,0
